Longitude,Latitude,State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
-86.796389,33.565278,1,73,6004,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/No Correction Factor - TEOM Gravimetric 50 deg C,2023,Micrograms/cubic meter (LC),No Events,5467,99,Y,229,231,0,53,,,Certification not required,0,13.809201,22.106603,179.6,6/28/2023 20:00,179.6,6/28/2023 21:00,179.6,6/28/2023 22:00,179.6,6/28/2023 23:00,,,,,179.6,52.8,26.4,21.1,14.3,9.4,4.5,Sloss Shuttlesworth,4113 SHUTTLESWORTH DRIVE,Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",5/20/2024
-84.161111,30.0925,12,129,1,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/Correction Factor - TEOM Gravimetric 50 deg C,2023,Micrograms/cubic meter (LC),No Events,7252,83,Y,299,365,0,1508,,,Certification not required,0,8.409446,6.17654,160.3,4/17/2023 22:00,141.9,2/7/2023 23:00,140.3,4/18/2023 2:00,114.3,2/7/2023 22:00,,,,,27.5,21.6,16.9,13.8,10.1,7.4,3.5,St. Marks Wildlife Refuge,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",5/20/2024
-82.441111,30.201111,12,3,2,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/Correction Factor - TEOM Gravimetric 50 deg C,2023,Micrograms/cubic meter (LC),No Events,8408,96,Y,353,365,0,352,,,Certification not required,0,8.634134,6.089959,160,3/6/2023 20:00,156,1/15/2023 2:00,118.2,3/7/2023 1:00,91.3,3/7/2023 2:00,,,,,26.5,22.7,18,14.6,10.7,7.6,3.4,OLUSTEE,HWY 90 OLUSTEE FOREST SERVICE OFFICE,Florida,Baker,,"Jacksonville, FL",5/20/2024
-82.619167,30.178056,12,23,2,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/Correction Factor - TEOM Gravimetric 50 deg C,2023,Micrograms/cubic meter (LC),No Events,8257,94,Y,342,365,0,503,,,Certification not required,0,9.527661,6.312902,72,1/27/2023 21:00,68,6/30/2023 7:00,66.8,2/5/2023 20:00,66.8,2/5/2023 21:00,,,,,33.1,27,20.7,16.6,11.6,8.1,3.9,Lake City - Veteran's Domicile,751 SE SYCAMORE TERRACE,Florida,Columbia,Lake City,"Lake City, FL",5/20/2024
-74.00885,41.49916,36,71,2,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/Correction Factor - TEOM Gravimetric 50 deg C,2023,Micrograms/cubic meter (LC),No Events,8506,97,Y,354,365,0,254,,,Certification not required,0,7.380555,10.411163,179.4,6/7/2023 13:00,174.2,6/7/2023 14:00,173,6/7/2023 18:00,163.9,6/7/2023 19:00,,,,,51.2,30.7,17.4,13.6,9.3,5.8,0.4,NEWBURGH,55 BROADWAY,New York,Orange,Newburgh,"New York-Newark-Jersey City, NY-NJ-PA",5/20/2024
-82.100646,29.170533,12,83,3,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/Correction Factor - TEOM Gravimetric 50 deg C,2023,Micrograms/cubic meter (LC),No Events,8475,97,Y,355,365,0,285,,,Certification not required,0,8.537923,6.130563,83.1,1/16/2023 8:00,77.1,1/17/2023 8:00,77.1,2/7/2023 15:00,74.4,1/12/2023 8:00,,,,,31.1,24,18.1,14.4,10.6,7.5,3.3,Ocala YMCA,3200 SE 17TH STREET,Florida,Marion,Ocala,"Ocala, FL",5/20/2024
-78.43471,38.5231,51,113,3,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/Correction Factor - TEOM Gravimetric 50 deg C,2023,Micrograms/cubic meter (LC),Events Included,4771,54,N,189,365,91,1781,,,Certification not required,0,6.830518,8.701316,162.8,6/8/2023 7:00,145.3,6/8/2023 8:00,143.8,6/8/2023 6:00,128.2,6/8/2023 9:00,,,,,45.3,28.8,17.8,13.2,8,5,1.4,Shenandoah NP - Big Meadows,SHENANDOAH NP BIG MEADOWS,Virginia,Madison,,,5/20/2024
-78.43471,38.5231,51,113,3,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/Correction Factor - TEOM Gravimetric 50 deg C,2023,Micrograms/cubic meter (LC),Events Excluded,4680,54,N,189,365,0,1781,,,Certification not required,0,6.046218,5.236985,46.6,6/6/2023 9:00,46.6,6/30/2023 3:00,44.2,6/30/2023 2:00,42.5,6/7/2023 18:00,,,,,26.1,20.2,15.8,12.1,7.6,4.8,1,Shenandoah NP - Big Meadows,SHENANDOAH NP BIG MEADOWS,Virginia,Madison,,,5/20/2024
-78.43471,38.5231,51,113,3,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/Correction Factor - TEOM Gravimetric 50 deg C,2023,Micrograms/cubic meter (LC),Concurred Events Excluded,4771,54,N,189,365,91,1781,,,Certification not required,0,6.830518,8.701316,162.8,6/8/2023 7:00,145.3,6/8/2023 8:00,143.8,6/8/2023 6:00,128.2,6/8/2023 9:00,,,,,45.3,28.8,17.8,13.2,8,5,1.4,Shenandoah NP - Big Meadows,SHENANDOAH NP BIG MEADOWS,Virginia,Madison,,,5/20/2024
-84.272614,33.698643,13,89,3,88502,3,NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Thermo Scientific 1405-F FDMS w/SCC - FDMS,2023,Micrograms/cubic meter (LC),No Events,6098,88,Y,256,290,0,862,,,Certification not required,0,11.360315,8.113339,86.6,7/5/2023 1:00,79.3,7/5/2023 0:00,78.1,7/12/2023 5:00,72.4,7/5/2023 4:00,,,,,45.2,31.4,23.9,19.6,14.7,10.5,3.1,NR-285,"3073 PANTHERSVILLE ROAD, DECATUR, GA 30034",Georgia,DeKalb,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",7/10/2024
