GEOID,population,median_income,accessibility
36029015600,2027,49255,0
36029010901,2270,62750,0
36029014701,5664,114095,0
36029013502,7144,147000,0
36029007303,7040,79473,0
36029013001,2653,47614,0
36029013202,5305,83816,0
36029014801,2418,47647,0
36029012003,4978,86556,0
36029014209,4546,90057,0
36029014703,5023,132679,0
36029009602,5098,70048,0
36029009501,5080,99572,0
36029014903,5884,76118,0
36029009104,4194,104071,0
36029010902,4454,43929,0
36029015900,4290,51551,0
36029013104,4574,92743,0
36029009109,3095,54130,0
36029015401,2831,68929,0
36029012800,2659,50861,0
36029009110,5580,NA,0
36029017301,2761,76031,0
36029014101,6302,74977,0
36029010001,3444,61560,0
36029009116,5273,63220,0
36029007903,3229,71120,0
36029014804,3892,64591,0
36029940000,2022,35000,0
36029009402,4574,95560,0
36029010102,4007,34427,0
36029015800,4175,62250,0
36029012902,3933,65121,0
36029017200,2123,40500,0
36029009601,1600,71912,0
36029014208,5915,92890,0
36029980300,2769,NA,0
36029015003,3350,53420,0
36029008900,4035,86603,0
36029008202,3780,45203,0
36029007305,2561,86458,0
36029990000,0,NA,0
